MODIFIER_PATH	MODIFIER_CD	NAME_CHAR	VALTYPE_CD	STD_UNITS	VISIT_IND
\Events\Adverse Events\Carcinoid tumours\Carcinoid tumour of the appendix\	MDR:10007277	Carcinoid tumour of the appendix	T		N
\Events\Adverse Events\Carcinoid tumours\	MDR:10007283	Carcinoid tumours	T		N
\Events\Adverse Events\Ventricular arrhythmias and cardiac arrest\Cardiac arrest\	MDR:10007515	Cardiac arrest	T		N
\Events\Adverse Events\Cardiac disorders NEC\	MDR:10007543	Cardiac disorders NEC	T		N
\Events\Adverse Events\Skeletal and cardiac muscle analyses\Cardiac enzymes\	MDR:10007547	Cardiac enzymes	T		N
\Events\Adverse Events\Skeletal and cardiac muscle analyses\Cardiac enzymes increased\	MDR:10007548	Cardiac enzymes increased	T		N
\Events\Adverse Events\Skeletal and cardiac muscle analyses\Cardiac enzymes normal\	MDR:10007549	Cardiac enzymes normal	T		N
\Events\Adverse Events\Heart failures NEC\Cardiac failure congestive\	MDR:10007559	Cardiac failure congestive	T		N
\Events\Adverse Events\Cardiac function diagnostic procedures\	MDR:10007566	Cardiac function diagnostic procedures	T		N
\Events\Adverse Events\Myocardial disorders NEC\Cardiac hypertrophy\	MDR:10007572	Cardiac hypertrophy	T		N
\Events\Adverse Events\Cardiac imaging procedures\	MDR:10007574	Cardiac imaging procedures	T		N
\Events\Adverse Events\Cardiac infections and inflammations NEC\	MDR:10007581	Cardiac infections and inflammations NEC	T		N
\Events\Adverse Events\Cardiac auscultatory investigations\Cardiac murmur\	MDR:10007586	Cardiac murmur	T		N
\Events\Adverse Events\Cardiac function diagnostic procedures\Cardiac output decreased\	MDR:10007595	Cardiac output decreased	T		N
\Events\Adverse Events\Cardiac device therapeutic procedures\Cardiac pacemaker insertion\	MDR:10007598	Cardiac pacemaker insertion	T		N
\Events\Adverse Events\Cardiac device therapeutic procedures\	MDR:10007600	Cardiac device therapeutic procedures	T		N
\Events\Adverse Events\Cardiac and vascular procedural complications\	MDR:10007602	Cardiac and vascular procedural complications	T		N
\Events\Adverse Events\Cardiac signs and symptoms NEC\	MDR:10007609	Cardiac signs and symptoms NEC	T		N
\Events\Adverse Events\Ventricular arrhythmias and cardiac arrest\Cardio-respiratory arrest\	MDR:10007617	Cardio-respiratory arrest	T		N
\Events\Adverse Events\Cardiomyopathies\	MDR:10007635	Cardiomyopathies	T		N
\Events\Adverse Events\Cardiomyopathies\Cardiomyopathy\	MDR:10007636	Cardiomyopathy	T		N
\Events\Adverse Events\Non-site specific vascular disorders NEC\Cardiovascular disorder\	MDR:10007649	Cardiovascular disorder	T		N
\Events\Adverse Events\Cardiac therapeutic procedures NEC\Cardioversion\	MDR:10007661	Cardioversion	T		N
\Events\Adverse Events\Lipoprotein and lipid tests NEC\Carnitine decreased\	MDR:10007668	Carnitine decreased	T		N
\Events\Adverse Events\Mononeuropathies\Carpal tunnel syndrome\	MDR:10007697	Carpal tunnel syndrome	T		N
\Events\Adverse Events\Cartilage disorders\	MDR:10007709	Cartilage disorders	T		N
\Events\Adverse Events\Cartilage disorders\Cartilage injury\	MDR:10007710	Cartilage injury	T		N
\Events\Adverse Events\Narcolepsy and associated conditions\Cataplexy\	MDR:10007737	Cataplexy	T		N
\Events\Adverse Events\Cataract conditions\Cataract\	MDR:10007739	Cataract	T		N
\Events\Adverse Events\Cataract conditions\	MDR:10007772	Cataract conditions	T		N
\Events\Adverse Events\Decreased physical activity levels\Catatonia\	MDR:10007776	Catatonia	T		N
\Events\Adverse Events\Cardiac imaging procedures\Catheterisation cardiac\	MDR:10007815	Catheterisation cardiac	T		N
\Events\Adverse Events\Cardiac imaging procedures\Catheterisation cardiac abnormal\	MDR:10007816	Catheterisation cardiac abnormal	T		N
\Events\Adverse Events\Cardiac imaging procedures\Catheterisation cardiac normal\	MDR:10007817	Catheterisation cardiac normal	T		N
\Events\Adverse Events\White blood cell analyses\CD4 lymphocytes decreased\	MDR:10007839	CD4 lymphocytes decreased	T		N
\Events\Adverse Events\White blood cell analyses\CD4/CD8 ratio\	MDR:10007842	CD4/CD8 ratio	T		N
\Events\Adverse Events\Cell marker procedures\	MDR:10007873	Cell marker procedures	T		N
\Events\Adverse Events\Skin and subcutaneous tissue bacterial infections\Cellulitis\	MDR:10007882	Cellulitis	T		N
\Events\Adverse Events\Streptococcal infections\Cellulitis streptococcal\	MDR:10007922	Cellulitis streptococcal	T		N
\Events\Adverse Events\Central nervous system haemorrhages and cerebrovascular accidents\	MDR:10007948	Central nervous system haemorrhages and cerebrovascular accidents	T		N
\Events\Adverse Events\Central nervous system histopathology procedures\	MDR:10007949	Central nervous system histopathology procedures	T		N
\Events\Adverse Events\Central nervous system imaging procedures\	MDR:10007950	Central nervous system imaging procedures	T		N
\Events\Adverse Events\Central nervous system inflammatory disorders NEC\	MDR:10007952	Central nervous system inflammatory disorders NEC	T		N
\Events\Adverse Events\Site specific injuries NEC\Cephalhaematoma\	MDR:10008014	Cephalhaematoma	T		N
\Events\Adverse Events\Gait disturbances\Cerebellar ataxia\	MDR:10008025	Cerebellar ataxia	T		N
\Events\Adverse Events\Cerebellar coordination and balance disturbances\	MDR:10008028	Cerebellar coordination and balance disturbances	T		N
\Events\Adverse Events\Nervous system haemorrhagic disorders\Cerebral haemorrhage\	MDR:10008111	Cerebral haemorrhage	T		N
\Events\Adverse Events\Cerebrovascular and spinal necrosis and vascular insufficiency\Cerebral ischaemia\	MDR:10008120	Cerebral ischaemia	T		N
\Events\Adverse Events\Neurological, special senses and psychiatric investigations\Cerebrospinal fluid tests (excl microbiology)\	MDR:10008183	Cerebrospinal fluid tests (excl microbiology)	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\	MDR:10008183	Cerebrospinal fluid tests (excl microbiology)	T		N
\Events\Adverse Events\Cerebrovascular and spinal vascular disorders NEC\Cerebrovascular accident\	MDR:10008190	Cerebrovascular accident	T		N
\Events\Adverse Events\Central nervous system haemorrhages and cerebrovascular accidents\Cerebrovascular accident\	MDR:10008190	Cerebrovascular accident	T		N
\Events\Adverse Events\Cerebrovascular and spinal necrosis and vascular insufficiency\	MDR:10008192	Cerebrovascular and spinal necrosis and vascular insufficiency	T		N
\Events\Adverse Events\Cerebrovascular and spinal vascular disorders NEC\	MDR:10008193	Cerebrovascular and spinal vascular disorders NEC	T		N
\Events\Adverse Events\Cerebrovascular aneurysms and dissections\	MDR:10008194	Cerebrovascular aneurysms and dissections	T		N
\Events\Adverse Events\Cerebrovascular and spinal vascular disorders NEC\Cerebrovascular disorder\	MDR:10008196	Cerebrovascular disorder	T		N
\Events\Adverse Events\Cerebrovascular embolism and thrombosis\	MDR:10008205	Cerebrovascular embolism and thrombosis	T		N
\Events\Adverse Events\Nervous system haemorrhagic disorders\	MDR:10008206	Nervous system haemorrhagic disorders	T		N
\Events\Adverse Events\Cerebrovascular venous and sinus thrombosis\	MDR:10008209	Cerebrovascular venous and sinus thrombosis	T		N
\Events\Adverse Events\Cervix neoplasms\Cervical cyst\	MDR:10008254	Cervical cyst	T		N
\Events\Adverse Events\Cervix disorders NEC\Cervical dysplasia\	MDR:10008263	Cervical dysplasia	T		N
\Events\Adverse Events\Cervix disorders NEC\Uterine cervical erosion\	MDR:10008264	Uterine cervical erosion	T		N
\Events\Adverse Events\Maternal complications of pregnancy NEC\Cervical incompetence\	MDR:10008267	Cervical incompetence	T		N
\Events\Adverse Events\Cervix therapeutic procedures\	MDR:10008294	Cervix therapeutic procedures	T		N
\Events\Adverse Events\Cervix neoplasms\Cervical polyp\	MDR:10008297	Cervical polyp	T		N
\Events\Adverse Events\Cervical spinal cord and nerve root disorders\Cervical spinal stenosis\	MDR:10008313	Cervical spinal stenosis	T		N
\Events\Adverse Events\Female reproductive tract infections\Cervicitis\	MDR:10008323	Cervicitis	T		N
\Events\Adverse Events\Neisseria infections\Cervicitis gonococcal\	MDR:10008326	Cervicitis gonococcal	T		N
\Events\Adverse Events\Osteoarthropathies\Cervicobrachial syndrome\	MDR:10008334	Cervicobrachial syndrome	T		N
\Events\Adverse Events\Cervix neoplasms\Cervix carcinoma\	MDR:10008342	Cervix carcinoma	T		N
\Events\Adverse Events\Cervix disorders NEC\Cervix disorder\	MDR:10008351	Cervix disorder	T		N
\Events\Adverse Events\Cervix disorders NEC\	MDR:10008352	Cervix disorders NEC	T		N
\Events\Adverse Events\Cervix neoplasms\Cervix neoplasm\	MDR:10008354	Cervix neoplasm	T		N
\Events\Adverse Events\Lid, lash and lacrimal infections, irritations and inflammations\Chalazion\	MDR:10008388	Chalazion	T		N
\Events\Adverse Events\Gastrointestinal dyskinetic disorders\Change of bowel habit\	MDR:10008399	Change of bowel habit	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Cheilitis\	MDR:10008417	Cheilitis	T		N
\Events\Adverse Events\Oral soft tissue disorders NEC\Cheilitis\	MDR:10008417	Cheilitis	T		N
\Events\Adverse Events\Oral soft tissue disorders NEC\Cheilosis\	MDR:10008418	Cheilosis	T		N
\Events\Adverse Events\Ocular injuries NEC\Chemical burns of eye\	MDR:10008422	Chemical burns of eye	T		N
\Events\Adverse Events\Chemistry analyses NEC\	MDR:10008431	Chemistry analyses NEC	T		N
\Events\Adverse Events\Chemotherapies\	MDR:10008442	Chemotherapies	T		N
\Events\Adverse Events\Ischaemic coronary artery disorders\Chest discomfort\	MDR:10008469	Chest discomfort	T		N
\Events\Adverse Events\Pain and discomfort NEC\Chest discomfort\	MDR:10008469	Chest discomfort	T		N
\Events\Adverse Events\Pain and discomfort NEC\Chest pain\	MDR:10008479	Chest pain	T		N
\Events\Adverse Events\Ischaemic coronary artery disorders\Chest pain\	MDR:10008479	Chest pain	T		N
\Events\Adverse Events\Respiratory tract and thoracic imaging procedures\Chest X-ray\	MDR:10008498	Chest X-ray	T		N
\Events\Adverse Events\Respiratory tract and thoracic imaging procedures\Chest X-ray abnormal\	MDR:10008499	Chest X-ray abnormal	T		N
\Events\Adverse Events\Respiratory tract and thoracic imaging procedures\Chest X-ray normal\	MDR:10008500	Chest X-ray normal	T		N
\Events\Adverse Events\Pervasive developmental disorders NEC\Childhood disintegrative disorder\	MDR:10008522	Childhood disintegrative disorder	T		N
\Events\Adverse Events\Peripheral vasoconstriction, necrosis and vascular insufficiency\Chillblains\	MDR:10008528	Chillblains	T		N
\Events\Adverse Events\Feelings and sensations NEC\Chills\	MDR:10008531	Chills	T		N
\Events\Adverse Events\Chlamydial infections\	MDR:10008561	Chlamydial infections	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Choking\	MDR:10008589	Choking	T		N
\Events\Adverse Events\Bile duct infections and inflammations\Cholangitis\	MDR:10008604	Cholangitis	T		N
\Events\Adverse Events\Biliary tract and gallbladder therapeutic procedures\Cholecystectomy\	MDR:10008611	Cholecystectomy	T		N
\Events\Adverse Events\Cholecystitis and cholelithiasis\Cholecystitis\	MDR:10008612	Cholecystitis	T		N
\Events\Adverse Events\Cholecystitis and cholelithiasis\Cholecystitis acute\	MDR:10008614	Cholecystitis acute	T		N
\Events\Adverse Events\Cholecystitis and cholelithiasis\	MDR:10008616	Cholecystitis and cholelithiasis	T		N
\Events\Adverse Events\Cholecystitis and cholelithiasis\Cholecystitis chronic\	MDR:10008617	Cholecystitis chronic	T		N
\Events\Adverse Events\Cholecystitis and cholelithiasis\Cholelithiasis\	MDR:10008629	Cholelithiasis	T		N
\Events\Adverse Events\Cholestasis and jaundice\	MDR:10008636	Cholestasis and jaundice	T		N
\Events\Adverse Events\Cholesterol analyses\	MDR:10008651	Cholesterol analyses	T		N
\Events\Adverse Events\Cartilage disorders\Chondritis\	MDR:10008685	Chondritis	T		N
\Events\Adverse Events\Placental abnormalities (excl neoplasms)\Chorioamnionitis\	MDR:10008755	Chorioamnionitis	T		N
\Events\Adverse Events\Choroid and vitreous structural change, deposit and degeneration\	MDR:10008776	Choroid and vitreous structural change, deposit and degeneration	T		N
\Events\Adverse Events\Visual colour distortions\Chromatopsia\	MDR:10008795	Chromatopsia	T		N
\Events\Adverse Events\Urinary abnormalities\Chromaturia\	MDR:10008796	Chromaturia	T		N
\Events\Adverse Events\Chromosome analyses\Chromosomal analysis\	MDR:10008811	Chromosomal analysis	T		N
\Events\Adverse Events\Chromosome analyses\	MDR:10008816	Chromosome analyses	T		N
\Events\Adverse Events\Chromosome analyses\Chromosome analysis normal\	MDR:10008818	Chromosome analysis normal	T		N
\Events\Adverse Events\Asthenic conditions\Chronic fatigue syndrome\	MDR:10008874	Chronic fatigue syndrome	T		N
\Events\Adverse Events\White blood cell abnormal findings NEC\Chronic granulomatous disease\	MDR:10008906	Chronic granulomatous disease	T		N
\Events\Adverse Events\Bronchospasm and obstruction\Chronic obstructive pulmonary disease\	MDR:10009033	Chronic obstructive pulmonary disease	T		N
\Events\Adverse Events\Upper respiratory tract infections\Chronic sinusitis\	MDR:10009137	Chronic sinusitis	T		N
\Events\Adverse Events\Upper respiratory tract infections\Chronic tonsillitis\	MDR:10009152	Chronic tonsillitis	T		N
\Events\Adverse Events\Sleep phase rhythm disturbances\Circadian rhythm sleep disorder\	MDR:10009191	Circadian rhythm sleep disorder	T		N
\Events\Adverse Events\Circulatory collapse and shock\	MDR:10009193	Circulatory collapse and shock	T		N
\Events\Adverse Events\Upper limb fractures and dislocations\Clavicle fracture\	MDR:10009245	Clavicle fracture	T		N
\Events\Adverse Events\Neurological signs and symptoms NEC\Clonus\	MDR:10009346	Clonus	T		N
\Events\Adverse Events\Clostridia infections\	MDR:10009653	Clostridia infections	T		N
\Events\Adverse Events\Intestinal infections\Clostridium difficile colitis\	MDR:10009657	Clostridium difficile colitis	T		N
\Events\Adverse Events\Dyskinesias and movement disorders NEC\Clumsiness\	MDR:10009696	Clumsiness	T		N
\Events\Adverse Events\Coagulation and bleeding analyses\	MDR:10009728	Coagulation and bleeding analyses	T		N
\Events\Adverse Events\Coagulation factor deficiencies\	MDR:10009737	Coagulation factor deficiencies	T		N
\Events\Adverse Events\Coagulopathies\Coagulopathy\	MDR:10009802	Coagulopathy	T		N
\Events\Adverse Events\Great vessel disorders congenital\Coarctation of the aorta\	MDR:10009807	Coarctation of the aorta	T		N
\Events\Adverse Events\Bone related signs and symptoms\Coccydynia\	MDR:10009829	Coccydynia	T		N
\Events\Adverse Events\Malabsorption syndromes\Coeliac disease\	MDR:10009839	Coeliac disease	T		N
\Events\Adverse Events\Cognitive and attention disorders and disturbances NEC\	MDR:10009842	Cognitive and attention disorders and disturbances NEC	T		N
\Events\Adverse Events\Autoimmunity analyses\Cold agglutinins negative\	MDR:10009853	Cold agglutinins negative	T		N
\Events\Adverse Events\Conditions caused by cold\Cold exposure injury\	MDR:10009856	Cold exposure injury	T		N
\Events\Adverse Events\General signs and symptoms NEC\Cold sweat\	MDR:10009866	Cold sweat	T		N
\Events\Adverse Events\Large intestine therapeutic procedures\Colectomy total\	MDR:10009879	Colectomy total	T		N
\Events\Adverse Events\Colitis (excl infective)\Colitis\	MDR:10009887	Colitis	T		N
\Events\Adverse Events\Colitis (excl infective)\	MDR:10009888	Colitis (excl infective)	T		N
\Events\Adverse Events\Colitis (excl infective)\Colitis ulcerative\	MDR:10009900	Colitis ulcerative	T		N
\Events\Adverse Events\Immune and associated conditions NEC\Colitis ulcerative\	MDR:10009900	Colitis ulcerative	T		N
\Events\Adverse Events\Gastrointestinal and abdominal imaging procedures\Colonoscopy\	MDR:10010007	Colonoscopy	T		N
\Events\Adverse Events\Colour blindness (incl acquired)\Colour blindness\	MDR:10010050	Colour blindness	T		N
\Events\Adverse Events\Colour blindness (incl acquired)\Colour blindness acquired\	MDR:10010051	Colour blindness acquired	T		N
\Events\Adverse Events\Ophthalmic function diagnostic procedures\Colour vision tests abnormal\	MDR:10010056	Colour vision tests abnormal	T		N
\Events\Adverse Events\Reproductive organ and breast imaging procedures\Colposcopy\	MDR:10010069	Colposcopy	T		N
\Events\Adverse Events\Coma states\Coma\	MDR:10010071	Coma	T		N
\Events\Adverse Events\Primary immunodeficiency syndromes\Combined immunodeficiency\	MDR:10010099	Combined immunodeficiency	T		N
\Events\Adverse Events\Communications disorders\	MDR:10010119	Communications disorders	T		N
\Events\Adverse Events\Musculoskeletal necrosis and vascular insufficiency\Compartment syndrome\	MDR:10010121	Compartment syndrome	T		N
\Events\Adverse Events\Immune response protein analyses NEC\Complement factor C3 increased\	MDR:10010126	Complement factor C3 increased	T		N
\Events\Adverse Events\Suicidal and self-injurious behaviour\Completed suicide\	MDR:10010144	Completed suicide	T		N
\Events\Adverse Events\Partial complex seizures\Complex partial seizures\	MDR:10010145	Complex partial seizures	T		N
\Events\Adverse Events\Newborn complications NEC\	MDR:10010168	Newborn complications NEC	T		N
\Events\Adverse Events\Imaging procedures NEC\Computerised tomogram\	MDR:10010234	Computerised tomogram	T		N
\Events\Adverse Events\Imaging procedures NEC\Computerised tomogram abnormal\	MDR:10010235	Computerised tomogram abnormal	T		N
\Events\Adverse Events\Imaging procedures NEC\Computerised tomogram normal\	MDR:10010236	Computerised tomogram normal	T		N
\Events\Adverse Events\Structural brain disorders NEC\Concussion\	MDR:10010254	Concussion	T		N
\Events\Adverse Events\Cerebral injuries NEC\Concussion\	MDR:10010254	Concussion	T		N
\Events\Adverse Events\General signs and symptoms NEC\Condition aggravated\	MDR:10010264	Condition aggravated	T		N
\Events\Adverse Events\Conditions associated with abnormal gas exchange\	MDR:10010268	Conditions associated with abnormal gas exchange	T		N
\Events\Adverse Events\Conditions caused by cold\	MDR:10010269	Conditions caused by cold	T		N
\Events\Adverse Events\Hearing losses\Conductive deafness\	MDR:10010280	Conductive deafness	T		N
\Events\Adverse Events\Confusion and disorientation\	MDR:10010301	Confusion and disorientation	T		N
\Events\Adverse Events\Confusion and disorientation\Confusional state\	MDR:10010305	Confusional state	T		N
\Events\Adverse Events\Cortical dysfunction NEC\Confusional state\	MDR:10010305	Confusional state	T		N
\Events\Adverse Events\Congenital disorders NEC\Congenital anomaly\	MDR:10010356	Congenital anomaly	T		N
\Events\Adverse Events\Renal disorders congenital\Congenital cystic kidney disease\	MDR:10010428	Congenital cystic kidney disease	T		N
\Events\Adverse Events\Congenital disorders NEC\	MDR:10010445	Congenital disorders NEC	T		N
\Events\Adverse Events\Ocular haemorrhagic disorders\Conjunctival haemorrhage\	MDR:10010719	Conjunctival haemorrhage	T		N
\Events\Adverse Events\Conjunctival infections, irritations and inflammations\	MDR:10010722	Conjunctival infections, irritations and inflammations	T		N
\Events\Adverse Events\Conjunctival infections, irritations and inflammations\Conjunctivitis\	MDR:10010741	Conjunctivitis	T		N
\Events\Adverse Events\Eye and eyelid infections\Conjunctivitis infective\	MDR:10010742	Conjunctivitis infective	T		N
\Events\Adverse Events\Atopic disorders\Conjunctivitis allergic\	MDR:10010744	Conjunctivitis allergic	T		N
\Events\Adverse Events\Conjunctival infections, irritations and inflammations\Conjunctivitis viral\	MDR:10010755	Conjunctivitis viral	T		N
\Events\Adverse Events\Connective tissue disorders (excl LE)\	MDR:10010762	Connective tissue disorders (excl LE)	T		N
\Events\Adverse Events\Gastrointestinal atonic and hypomotility disorders NEC\Constipation\	MDR:10010774	Constipation	T		N
\Events\Adverse Events\Contraceptive methods female\	MDR:10010812	Contraceptive methods female	T		N
\Events\Adverse Events\Social issues\Contraindication to vaccination\	MDR:10010835	Contraindication to vaccination	T		N
\Events\Adverse Events\Somatoform disorders\Conversion disorder\	MDR:10010893	Conversion disorder	T		N
\Events\Adverse Events\Seizures and seizure disorders NEC\Convulsion\	MDR:10010904	Convulsion	T		N
\Events\Adverse Events\Neonatal neurological system disorders NEC\Convulsion neonatal\	MDR:10010911	Convulsion neonatal	T		N
\Events\Adverse Events\Blood grouping and cross-matching analyses\Coombs direct test positive\	MDR:10010933	Coombs direct test positive	T		N
\Events\Adverse Events\Cerebellar coordination and balance disturbances\Coordination abnormal\	MDR:10010947	Coordination abnormal	T		N
\Events\Adverse Events\Eye injuries NEC\Corneal abrasion\	MDR:10010984	Corneal abrasion	T		N
\Events\Adverse Events\Corneal and scleral therapeutic procedures\	MDR:10010988	Corneal and scleral therapeutic procedures	T		N
\Events\Adverse Events\Corneal disorders NEC\	MDR:10011004	Corneal disorders NEC	T		N
\Events\Adverse Events\Corneal structural change, deposit and degeneration\Corneal erosion\	MDR:10011013	Corneal erosion	T		N
\Events\Adverse Events\Corneal infections, oedemas and inflammations\	MDR:10011021	Corneal infections, oedemas and inflammations	T		N
\Events\Adverse Events\Corneal infections, oedemas and inflammations\Corneal oedema\	MDR:10011033	Corneal oedema	T		N
\Events\Adverse Events\Corneal structural change, deposit and degeneration\	MDR:10011049	Corneal structural change, deposit and degeneration	T		N
\Events\Adverse Events\Arterial therapeutic procedures (excl aortic)\Coronary artery bypass\	MDR:10011077	Coronary artery bypass	T		N
\Events\Adverse Events\Coronary necrosis and vascular insufficiency\Coronary artery disease\	MDR:10011078	Coronary artery disease	T		N
\Events\Adverse Events\Ischaemic coronary artery disorders\	MDR:10011085	Ischaemic coronary artery disorders	T		N
\Events\Adverse Events\Cortical dysfunction NEC\	MDR:10011168	Cortical dysfunction NEC	T		N
\Events\Adverse Events\Adrenal cortex tests\Cortisol free urine normal\	MDR:10011205	Cortisol free urine normal	T		N
\Events\Adverse Events\Cartilage disorders\Costochondritis\	MDR:10011219	Costochondritis	T		N
\Events\Adverse Events\Coughing and associated symptoms\Cough\	MDR:10011224	Cough	T		N
\Events\Adverse Events\Coughing and associated symptoms\	MDR:10011233	Coughing and associated symptoms	T		N
\Events\Adverse Events\Coxsackie viral infections\Coxsackie viral infection\	MDR:10011261	Coxsackie viral infection	T		N
\Events\Adverse Events\Coxsackie viral infections\	MDR:10011262	Coxsackie viral infections	T		N
\Events\Adverse Events\Cranial nerve disorders NEC\	MDR:10011306	Cranial nerve disorders NEC	T		N
\Events\Adverse Events\Renal function analyses\Creatine urine\	MDR:10011353	Creatine urine	T		N
\Events\Adverse Events\General signs and symptoms NEC\Crepitations\	MDR:10011376	Crepitations	T		N
\Events\Adverse Events\Criminal activity\	MDR:10011391	Criminal activity	T		N
\Events\Adverse Events\Gastrointestinal inflammatory disorders NEC\Crohn's disease\	MDR:10011401	Crohn's disease	T		N
\Events\Adverse Events\Immune and associated conditions NEC\Crohn's disease\	MDR:10011401	Crohn's disease	T		N
\Events\Adverse Events\Viral upper respiratory tract infections\Croup infectious\	MDR:10011416	Croup infectious	T		N
\Events\Adverse Events\Neurological signs and symptoms NEC\Crying\	MDR:10011469	Crying	T		N
\Events\Adverse Events\Gastric and gastroenteric infections\Cryptosporidiosis infection\	MDR:10011502	Cryptosporidiosis infection	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF cell count\	MDR:10011520	CSF cell count	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF cell count increased\	MDR:10011522	CSF cell count increased	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF cell count normal\	MDR:10011523	CSF cell count normal	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\CSF culture\	MDR:10011527	CSF culture	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\CSF culture negative\	MDR:10011528	CSF culture negative	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\CSF culture positive\	MDR:10011529	CSF culture positive	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF glucose\	MDR:10011535	CSF glucose	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF glucose decreased\	MDR:10011537	CSF glucose decreased	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF glucose normal\	MDR:10011538	CSF glucose normal	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF lactate dehydrogenase normal\	MDR:10011545	CSF lactate dehydrogenase normal	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF lymphocyte count abnormal\	MDR:10011548	CSF lymphocyte count abnormal	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF lymphocyte count increased\	MDR:10011549	CSF lymphocyte count increased	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF lymphocyte count normal\	MDR:10011550	CSF lymphocyte count normal	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF neutrophil count negative\	MDR:10011556	CSF neutrophil count negative	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF oligoclonal band absent\	MDR:10011560	CSF oligoclonal band absent	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF oligoclonal band present\	MDR:10011562	CSF oligoclonal band present	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF pressure increased\	MDR:10011570	CSF pressure increased	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF protein decreased\	MDR:10011574	CSF protein decreased	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF protein increased\	MDR:10011575	CSF protein increased	T		N
\Events\Adverse Events\Cerebrospinal fluid tests (excl microbiology)\CSF protein normal\	MDR:10011576	CSF protein normal	T		N
\Events\Adverse Events\Cerebrospinal fluid shunt therapeutic procedures\	MDR:10011579	Cerebrospinal fluid shunt therapeutic procedures	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture cervix\	MDR:10011621	Culture cervix	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture stool\	MDR:10011629	Culture stool	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture stool negative\	MDR:10011630	Culture stool negative	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture stool positive\	MDR:10011631	Culture stool positive	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture throat\	MDR:10011632	Culture throat	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture throat negative\	MDR:10011633	Culture throat negative	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture throat positive\	MDR:10011634	Culture throat positive	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture urine\	MDR:10011638	Culture urine	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture urine negative\	MDR:10011639	Culture urine negative	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture urine positive\	MDR:10011640	Culture urine positive	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture wound\	MDR:10011641	Culture wound	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture wound negative\	MDR:10011642	Culture wound negative	T		N
\Events\Adverse Events\Microbiology and serology tests NEC\Culture wound positive\	MDR:10011643	Culture wound positive	T		N
\Events\Adverse Events\Metabolic disorders NEC\Cushingoid\	MDR:10011655	Cushingoid	T		N
\Events\Adverse Events\Peripheral vascular disorders NEC\Cyanosis\	MDR:10011703	Cyanosis	T		N
\Events\Adverse Events\Mass conditions NEC\Cyst\	MDR:10011732	Cyst	T		N
\Events\Adverse Events\Urinary tract infections\Cystitis\	MDR:10011781	Cystitis	T		N
\Events\Adverse Events\Bladder infections and inflammations\Cystitis haemorrhagic\	MDR:10011793	Cystitis haemorrhagic	T		N
\Events\Adverse Events\Bladder infections and inflammations\Cystitis interstitial\	MDR:10011796	Cystitis interstitial	T		N
\Events\Adverse Events\Pelvic prolapse conditions\Cystocele\	MDR:10011803	Cystocele	T		N
\Events\Adverse Events\Cytomegaloviral infections\	MDR:10011827	Cytomegaloviral infections	T		N
\Events\Adverse Events\Cytomegaloviral infections\Cytomegalovirus infection\	MDR:10011831	Cytomegalovirus infection	T		N
\Events\Adverse Events\Hearing losses\Deafness\	MDR:10011878	Deafness	T		N
